,user_id
1424,BoxcarTusk
1425,Boxereddy
1426,BoxingANDbeer
1427,BoydJustitz
1428,Boystout
1429,Bozo_skeleton
1430,Bozwell99
1431,BozzBoyer
1432,BpaiHorngnam
1433,Br1mst0ne
1434,Braastad
1435,Brachiale
1436,Brad
1437,Braden99
1438,Bradrcr
1439,Brady929rr
1440,Bragesnak
1441,BrainBug99
1442,BrainDead
1443,Brain_Parasite
1444,Braincage1
1445,Brainiac
1446,BrandNewBrew
1447,Brandman
1448,Brandon123
1449,Brandon8
1450,BrandonB
1451,BrandonLee
1452,BranikMan
1453,BrankaNik
1454,Bransm
1455,Branty
1456,Bratwurst
1457,Braudog
1458,BreWedge
1459,Breezy4life
1460,Bren_Beer
1461,BrendanC
1462,Brendelokken
1463,Brenhophead
1464,Brent
1465,Brentlinger
1466,BrentoTango
1467,Brentv
1468,BrettC
1469,BrettGT
1470,BrettTaylor
1471,Bretteux
1472,Brettsky06
1473,Brew 8299
1474,Brew102
1475,Brew42
1476,Brew4Dug
1477,BrewBoxer
1478,BrewBrain
1479,BrewBroFla
1480,BrewCaptain2
1481,BrewCityBomber99
1482,BrewCzar
1483,BrewDad
1484,BrewDoctor10
1485,BrewEd
1486,BrewExports56
1487,BrewGoblin
1488,BrewGuide32
1489,BrewGuru
1490,BrewHaMeister
1491,BrewIPA
1492,BrewMQnk
1493,BrewMaestro30
1494,BrewManHere
1495,BrewMaster0912
1496,BrewMaster75
1497,BrewMoose
1498,BrewPours15
1499,BrewPours18
1500,BrewRates17
1501,BrewRates24
1502,BrewRevolution
1503,BrewSensei133
1504,BrewSensei4
1505,BrewSpot
1506,BrewStein24
1507,BrewTamer87
1508,BrewTaps34
1509,BrewTeam27
1510,BrewTicks4
1511,BrewTicks8
1512,BrewTom
1513,BrewWhatIWant
